Label,Calibrated threshold,Best validation F1,Positive validation examples
toxic,0.38981619477272034,0.8040998512145768,3056
severe_toxic,0.2563701868057251,0.5155440414502913,321
obscene,0.44878512620925903,0.8089269336589324,1715
threat,0.05764301121234894,0.16352201257825924,74
insult,0.27453306317329407,0.7300083588738432,1614
identity_hate,0.164219930768013,0.28457446808463016,294
