Label,Precision,Recall,F1-score,Support
toxic,0.812562646174407,0.7958115183246073,0.8040998512150769,3056
severe_toxic,0.44124168514412415,0.6199376947040498,0.5155440414507773,321
obscene,0.8502570694087404,0.7714285714285715,0.8089269336594314,1715
threat,0.10655737704918032,0.35135135135135137,0.16352201257861634,74
insult,0.6632911392405063,0.8116480793060719,0.7300083588743382,1614
identity_hate,0.2336244541484716,0.36394557823129253,0.2845744680851064,294
